week,rat,type,BBB
baseline,142,exp,21
baseline,143,exp,21
baseline,144,exp,21
baseline,147,exp,21
baseline,179,exp,21
baseline,215,exp,21
baseline,216,exp,21
baseline,217,exp,21
baseline,218,exp,21
baseline,224,ctrl,21
baseline,405,exp,20
baseline,406,ctrl,21
baseline,414,exp,21
week1,142,exp,6
week1,143,exp,6.5
week1,144,exp,8
week1,147,exp,10.5
week1,179,exp,5.5
week1,215,exp,6.5
week1,216,exp,9
week1,217,exp,7
week1,218,exp,7.5
week1,224,ctrl,5.5
week1,405,exp,8
week1,406,ctrl,5.5
week1,414,exp,5
week2,142,exp,10
week2,143,exp,7.5
week2,144,exp,12
week2,147,exp,13
week2,179,exp,10
week2,215,exp,9
week2,216,exp,7
week2,217,exp,10
week2,218,exp,11
week2,224,ctrl,12
week2,405,exp,8
week2,406,ctrl,11
week2,414,exp,11
week3,142,exp,12
week3,143,exp,11
week3,144,exp,13
week3,147,exp,17
week3,179,exp,13
week3,215,exp,12
week3,216,exp,12
week3,217,exp,12.5
week3,218,exp,12
week3,224,ctrl,13
week3,405,exp,12
week3,406,ctrl,10.5
week3,414,exp,11
week4,142,exp,13
week4,143,exp,11
week4,144,exp,13
week4,147,exp,18
week4,179,exp,13
week4,215,exp,13
week4,216,exp,13
week4,217,exp,15
week4,218,exp,15
week4,224,ctrl,13
week4,405,exp,12
week4,406,ctrl,12
week4,414,exp,12
week6,142,exp,13
week6,143,exp,13
week6,144,exp,13
week6,147,exp,19
week6,179,exp,13
week6,215,exp,15
week6,216,exp,15
week6,217,exp,16
week6,218,exp,15
week6,224,ctrl,13
week6,405,exp,13
week6,406,ctrl,13
week6,414,exp,13
week7,142,exp,13
week7,143,exp,13
week7,144,exp,15
week7,147,exp,20
week7,179,exp,16
week7,215,exp,12
week7,216,exp,13
week7,217,exp,12
week7,218,exp,14.5
week7,224,ctrl,12
week7,405,exp,13
week7,406,ctrl,14.5
week7,414,exp,13
week8,142,exp,16
week8,143,exp,12
week8,144,exp,17
week8,147,exp,21
week8,179,exp,16.5
week8,215,exp,13
week8,216,exp,13
week8,217,exp,13
week8,218,exp,12
week8,224,ctrl,13
week8,405,exp,13
week8,406,ctrl,14.5
week8,414,exp,15.5
